#    x           mean          stddev
   10.00     0.00000000     0.00000000
   20.00     1.27180397     0.01116742
   30.00     0.88954165     0.03113057
   40.00     0.72316797     0.03051807
   50.00     0.61578500     0.02835716
   60.00     0.53647741     0.02781374
   70.00     0.46889195     0.01558544
   80.00     0.40767686     0.00519958
   90.00     0.36011969     0.00792956
  100.00     0.30646027     0.00667690
  110.00     0.26100193     0.00832269
  120.00     0.22194019     0.00663264
  130.00     0.18609769     0.00655840
  140.00     0.15187042     0.00775772
  150.00     0.12235554     0.01021921
  160.00     0.09591467     0.01071550
  170.00     0.07504921     0.00747334
  180.00     0.05751050     0.00530958
  190.00     0.04418703     0.00431529
  200.00     0.03422141     0.00337079
  210.00     0.02527560     0.00302906
  220.00     0.01763990     0.00328120
  230.00     0.01183581     0.00324296
  240.00     0.00768874     0.00301324
  250.00     0.00447560     0.00199095
  260.00     0.00205396     0.00089021
  270.00     0.00072468     0.00027628
  280.00     0.00016540     0.00008278
  290.00     0.00001131     0.00000782
  300.00     0.00000000     0.00000000
  310.00     0.00000000     0.00000000
  320.00     0.00000000     0.00000000
  330.00     0.00000000     0.00000000
  340.00     0.00000000     0.00000000
  350.00     0.00000000     0.00000000
  360.00     0.00000000     0.00000000
  370.00     0.00000000     0.00000000
  380.00     0.00000000     0.00000000
  390.00     0.00000000     0.00000000
  400.00     0.00000000     0.00000000
  410.00     0.00000000     0.00000000
  420.00     0.00000000     0.00000000
  430.00     0.00000000     0.00000000
  440.00     0.00000000     0.00000000
  450.00     0.00000000     0.00000000
  460.00     0.00000000     0.00000000
  470.00     0.00000000     0.00000000
  480.00     0.00000000     0.00000000
  490.00     0.00000000     0.00000000
  500.00     0.00000000     0.00000000
  510.00     0.00000000     0.00000000
  520.00     0.00000000     0.00000000
  530.00     0.00000000     0.00000000
  540.00     0.00000000     0.00000000
  550.00     0.00000000     0.00000000
  560.00     0.00000000     0.00000000
  570.00     0.00000000     0.00000000
  580.00     0.00000000     0.00000000
  590.00     0.00000000     0.00000000
  600.00     0.00000000     0.00000000
  610.00     0.00000000     0.00000000
  620.00     0.00000000     0.00000000
  630.00     0.00000000     0.00000000
  640.00     0.00000000     0.00000000
  650.00     0.00000000     0.00000000
  660.00     0.00000000     0.00000000
  670.00     0.00000000     0.00000000
  680.00     0.00000000     0.00000000
  690.00     0.00000000     0.00000000
  700.00     0.00000000     0.00000000
  710.00     0.00000000     0.00000000
  720.00     0.00000000     0.00000000
  730.00     0.00000000     0.00000000
  740.00     0.00000000     0.00000000
  750.00     0.00000000     0.00000000
  760.00     0.00000000     0.00000000
  770.00     0.00000000     0.00000000
  780.00     0.00000000     0.00000000
  790.00     0.00000000     0.00000000
  800.00     0.00000000     0.00000000
  810.00     0.00000000     0.00000000
  820.00     0.00000000     0.00000000
  830.00     0.00000000     0.00000000
  840.00     0.00000000     0.00000000
  850.00     0.00000000     0.00000000
  860.00     0.00000000     0.00000000
  870.00     0.00000000     0.00000000
  880.00     0.00000000     0.00000000
  890.00     0.00000000     0.00000000
  900.00     0.00000000     0.00000000
  910.00     0.00000000     0.00000000
  920.00     0.00000000     0.00000000
  930.00     0.00000000     0.00000000
